0  -14.97617
1  -14.97943
2  -14.98244
3  -14.98518
4  -14.98765
5  -14.98988
6  -14.99190
7  -14.99380
8  -14.99565
9  -14.99758
10  -14.99967
11  -15.00206
12  -15.00485
13  -15.00815
14  -15.01205
15  -15.01661
16  -15.02191
17  -15.02800
18  -15.03487
19  -15.04254
20  -15.05102
21  -15.06029
22  -15.07033
23  -15.08106
24  -15.09250
25  -15.10465
26  -15.11750
27  -15.13111
28  -15.14545
29  -15.16056
30  -15.17649
31  -15.19331
32  -15.21110
33  -15.22993
34  -15.24989
35  -15.27099
36  -15.29333
37  -15.31684
38  -15.34153
39  -15.36745
40  -15.39448
41  -15.42254
42  -15.45148
43  -15.48131
44  -15.51177
45  -15.54286
46  -15.57448
47  -15.60647
48  -15.63876
49  -15.67139
50  -15.70412
51  -15.73699
52  -15.76999
53  -15.80336
54  -15.83690
55  -15.87059
56  -15.90440
57  -15.93832
58  -15.97245
59  -16.00660
60  -16.04081
61  -16.07493
62  -16.10883
63  -16.14250
64  -16.17596
65  -16.20915
66  -16.24204
67  -16.27456
68  -16.30676
69  -16.33862
70  -16.37001
71  -16.40106
72  -16.43184
73  -16.46238
74  -16.49276
75  -16.52297
76  -16.55306
77  -16.58300
78  -16.61269
79  -16.64210
80  -16.67116
81  -16.69997
82  -16.72820
83  -16.75597
84  -16.78324
85  -16.80983
86  -16.83574
87  -16.86091
88  -16.88512
89  -16.90832
90  -16.93043
91  -16.95145
92  -16.97129
93  -16.99002
94  -17.00757
95  -17.02395
96  -17.03916
97  -17.05316
98  -17.06592
99  -17.07748
100  -17.08781
